sample_id,extractor_name,version,file,line,symbol,extracted_fact,raw_context,reviewer1_label,reviewer2_label,adjudicated_label,error_category,notes
c_functions-034,c_functions,v6.16,.binddrift/worktrees/v6.16/include/linux/security.h,1966,security_xfrm_policy_alloc,"{""c_symbol"": ""security_xfrm_policy_alloc"", ""definition_file"": "".binddrift/worktrees/v6.16/include/linux/security.h"", ""header_file"": "".binddrift/worktrees/v6.16/include/linux/security.h"", ""line"": 1966, ""params"": ""[\""struct xfrm_sec_ctx **ctxp\"", \""struct xfrm_user_sec_ctx *sec_ctx\"", \""gfp_t gfp\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.16""}","[""struct xfrm_sec_ctx **ctxp"", ""struct xfrm_user_sec_ctx *sec_ctx"", ""gfp_t gfp""]",,,,,
c_functions-035,c_functions,HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h,1156,disk_set_independent_access_ranges,"{""c_symbol"": ""disk_set_independent_access_ranges"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h"", ""line"": 1156, ""params"": ""[\""struct gendisk *disk\"", \""struct blk_independent_access_ranges *iars\""]"", ""return_type"": ""void"", ""version_id"": ""HEAD_9207d47f966b""}","[""struct gendisk *disk"", ""struct blk_independent_access_ranges *iars""]",,,,,
c_functions-036,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/mm.h,1782,get_page,"{""c_symbol"": ""get_page"", ""definition_file"": "".binddrift/worktrees/v7.0/include/linux/mm.h"", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/mm.h"", ""line"": 1782, ""params"": ""[\""struct page *page\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v7.0""}","[""struct page *page""]",,,,,
c_functions-037,c_functions,v6.15,.binddrift/worktrees/v6.15/include/linux/phy.h,1982,genphy_c45_ethtool_set_eee,"{""c_symbol"": ""genphy_c45_ethtool_set_eee"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.15/include/linux/phy.h"", ""line"": 1982, ""params"": ""[\""struct phy_device *phydev\"", \""struct ethtool_keee *data\""]"", ""return_type"": ""int"", ""version_id"": ""v6.15""}","[""struct phy_device *phydev"", ""struct ethtool_keee *data""]",,,,,
c_functions-038,c_functions,v6.14,.binddrift/worktrees/v6.14/include/linux/blkdev.h,1181,bdev_limits,"{""c_symbol"": ""bdev_limits"", ""definition_file"": "".binddrift/worktrees/v6.14/include/linux/blkdev.h"", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/blkdev.h"", ""line"": 1181, ""params"": ""[\""struct block_device *bdev\""]"", ""return_type"": ""static inline struct queue_limits *"", ""version_id"": ""v6.14""}","[""struct block_device *bdev""]",,,,,
c_functions-039,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/xarray.h,1742,xas_find_chunk,"{""c_symbol"": ""xas_find_chunk"", ""definition_file"": "".binddrift/worktrees/v6.17/include/linux/xarray.h"", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/xarray.h"", ""line"": 1742, ""params"": ""[\""struct xa_state *xas\"", \""bool advance\"", \""xa_mark_t mark\""]"", ""return_type"": ""static inline unsigned int"", ""version_id"": ""v6.17""}","[""struct xa_state *xas"", ""bool advance"", ""xa_mark_t mark""]",,,,,
c_functions-040,c_functions,v6.8,.binddrift/worktrees/v6.8/include/linux/sched.h,1766,relax_compatible_cpus_allowed_ptr,"{""c_symbol"": ""relax_compatible_cpus_allowed_ptr"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.8/include/linux/sched.h"", ""line"": 1766, ""params"": ""[\""struct task_struct *p\""]"", ""return_type"": ""extern void"", ""version_id"": ""v6.8""}","[""struct task_struct *p""]",,,,,
c_functions-041,c_functions,v6.15,.binddrift/worktrees/v6.15/include/linux/workqueue.h,582,apply_workqueue_attrs,"{""c_symbol"": ""apply_workqueue_attrs"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.15/include/linux/workqueue.h"", ""line"": 582, ""params"": ""[\""struct workqueue_struct *wq\"", \""const struct workqueue_attrs *attrs\""]"", ""return_type"": ""int"", ""version_id"": ""v6.15""}","[""struct workqueue_struct *wq"", ""const struct workqueue_attrs *attrs""]",,,,,
c_functions-042,c_functions,v6.18,.binddrift/worktrees/v6.18/include/linux/phy.h,1962,genphy_handle_interrupt_no_ack,"{""c_symbol"": ""genphy_handle_interrupt_no_ack"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.18/include/linux/phy.h"", ""line"": 1962, ""params"": ""[\""struct phy_device *phydev\""]"", ""return_type"": ""irqreturn_t"", ""version_id"": ""v6.18""}","[""struct phy_device *phydev""]",,,,,
c_functions-043,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/security.h,340,security_ptrace_traceme,"{""c_symbol"": ""security_ptrace_traceme"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/security.h"", ""line"": 340, ""params"": ""[\""struct task_struct *parent\""]"", ""return_type"": ""int"", ""version_id"": ""v6.17""}","[""struct task_struct *parent""]",,,,,
c_functions-044,c_functions,v6.16,.binddrift/worktrees/v6.16/include/drm/drm_file.h,509,drm_print_memory_stats,"{""c_symbol"": ""drm_print_memory_stats"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.16/include/drm/drm_file.h"", ""line"": 509, ""params"": ""[\""struct drm_printer *p\"", \""const struct drm_memory_stats *stats\"", \""enum drm_gem_object_status supported_status\"", \""const char *region\""]"", ""return_type"": ""void"", ""version_id"": ""v6.16""}","[""struct drm_printer *p"", ""const struct drm_memory_stats *stats"", ""enum drm_gem_object_status supported_status"", ""const char *region""]",,,,,
